Method,Accuracy,Detection Rate (Recall),Precision,F1-Score,False Alarm Rate (FAR),FAR Benign->Attack,Experiment,Seed,Poison_Ratio,Rounds,Variant,Training Time (s)
DyF-ZTL_decay_factor=0.8,94.36,82.12,85.82,80.18,1.86,3.46,sensitivity,1,0.2,20,decay_factor=0.8,999.68
FedProx,33.12,44.67,35.43,31.42,10.88,69.67,robust,1,0.5,20,,1097.86
FedProx,69.65,52.88,44.26,42.48,5.28,29.1,robust,2,0.5,20,,1127.93
DyF-ZTL,95.42,98.76,79.71,87.15,0.69,6.59,robust,1,0.5,20,,993.28
DyF-ZTL_low_gate=0.6,94.36,82.12,85.82,80.18,1.86,3.46,sensitivity,1,0.2,20,low_gate=0.6,987.48
FedProx,97.06,94.64,90.07,91.71,0.72,2.99,main,7,0.0,100,,4444.14
DyF-ZTL,95.42,98.76,79.71,87.15,0.69,6.59,robust,1,0.5,20,,972.78
DyF-ZTL,96.38,97.43,84.57,90.0,0.6,5.0,robust,2,0.5,20,,982.97
Krum,1.0,9.96,0.95,1.74,15.38,100.0,robust,1,0.5,20,,676.25
DyF-ZTL_low_gate=0.8,95.42,87.75,86.23,85.13,1.35,3.57,sensitivity,1,0.2,20,low_gate=0.8,912.89
Krum,1.0,9.96,0.95,1.74,15.38,100.0,robust,1,0.5,20,,659.82
Krum,87.54,54.21,71.2,53.28,5.19,2.28,robust,2,0.5,20,,669.04
MultiKrum,75.31,64.28,58.33,50.58,4.53,14.66,robust,1,0.5,20,,656.91
MultiKrum,75.31,64.28,58.33,50.58,4.53,14.66,robust,1,0.5,20,,656.22
MultiKrum,92.73,80.92,73.27,75.64,1.56,6.62,robust,2,0.5,20,,668.72
DyF-ZTL_high_gate=0.8,93.58,77.02,87.76,74.09,2.27,3.21,sensitivity,1,0.2,20,high_gate=0.8,897.26
Median,16.76,35.13,29.61,24.9,14.02,98.35,robust,1,0.5,20,,658.6
Median,16.76,35.13,29.61,24.9,14.02,98.35,robust,1,0.5,20,,655.85
Median,74.95,39.94,35.64,34.5,4.34,10.79,robust,2,0.5,20,,668.68
TrimmedMean,4.37,26.17,17.42,14.05,15.31,98.74,robust,1,0.5,20,,657.4
DyF-ZTL_high_gate=0.9,95.68,98.74,80.51,87.74,0.66,6.18,sensitivity,1,0.2,20,high_gate=0.9,898.31
TrimmedMean,4.37,26.17,17.42,14.05,15.31,98.74,robust,1,0.5,20,,655.29
TrimmedMean,16.93,36.52,25.82,20.01,13.37,96.43,robust,2,0.5,20,,668.92
